disease_id	entrezgene	type	gene	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	disease_degree
C1292769	hsa:2908	A	NR3C1	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	1
C0003873	hsa:2908	A	NR3C1	Rheumatoid Arthritis	disease	C17;C05;C20	Disease or Syndrome	2
C0003873	hsa:1493	A	CTLA4	Rheumatoid Arthritis	disease	C17;C05;C20	Disease or Syndrome	2
C0021390	hsa:2908	A	NR3C1	Inflammatory Bowel Diseases	group	C06	Disease or Syndrome	2
C0021390	hsa:3586	A	IL10	Inflammatory Bowel Diseases	group	C06	Disease or Syndrome	2
C0162820	hsa:2908	A	NR3C1	Dermatitis, Allergic Contact	disease	C17;C20	Disease or Syndrome	1
C0011615	hsa:2908	A	NR3C1	Dermatitis, Atopic	disease	C16;C17;C20	Disease or Syndrome	2
C0011615	hsa:3586	A	IL10	Dermatitis, Atopic	disease	C16;C17;C20	Disease or Syndrome	2
C2607914	hsa:2908	A	NR3C1	Allergic rhinitis (disorder)	disease	C08;C20;C09	Disease or Syndrome	1
C0011608	hsa:2908	A	NR3C1	Dermatitis Herpetiformis	disease	C17;C20	Disease or Syndrome	1
C0009324	hsa:2908	A	NR3C1	Ulcerative Colitis	disease	C06	Disease or Syndrome	3
C0009324	hsa:3586	A	IL10	Ulcerative Colitis	disease	C06	Disease or Syndrome	3
C0009324	hsa:1493	A	CTLA4	Ulcerative Colitis	disease	C06	Disease or Syndrome	3
C0004943	hsa:2908	A	NR3C1	Behcet Syndrome	disease	C16;C11;C17;C07;C14	Disease or Syndrome	1
C0026769	hsa:2908	A	NR3C1	Multiple Sclerosis	disease	C20;C10	Disease or Syndrome	6
C0026769	hsa:3455	A	IFNAR2	Multiple Sclerosis	disease	C20;C10	Disease or Syndrome	6
C0026769	hsa:2550	A	GABBR1	Multiple Sclerosis	disease	C20;C10	Disease or Syndrome	6
C0026769	hsa:3480	A	IGF1R	Multiple Sclerosis	disease	C20;C10	Disease or Syndrome	6
C0026769	hsa:7046	A	TGFBR1	Multiple Sclerosis	disease	C20;C10	Disease or Syndrome	6
C0026769	hsa:26762	A	HAVCR1	Multiple Sclerosis	disease	C20;C10	Disease or Syndrome	6
C0026896	hsa:2908	A	NR3C1	Myasthenia Gravis	disease	C04;C20;C10	Disease or Syndrome	1
C0001403	hsa:2908	A	NR3C1	Addison Disease	disease	C20;C19	Disease or Syndrome	1
C0033860	hsa:2908	A	NR3C1	Psoriasis	disease	C17	Disease or Syndrome	2
C0033860	hsa:4780	A	NFE2L2	Psoriasis	disease	C17	Disease or Syndrome	2
C0003872	hsa:2908	A	NR3C1	Arthritis, Psoriatic	disease	C17;C05	Disease or Syndrome	1
C0263361	hsa:2908	A	NR3C1	Psoriasis vulgaris	disease	C17	Disease or Syndrome	1
C0027726	hsa:2908	A	NR3C1	Nephrotic Syndrome	group	C13;C12	Disease or Syndrome	1
C0152081	hsa:2908	A	NR3C1	Pustular psoriasis	disease	C17	Disease or Syndrome	1
C3495559	hsa:2908	A	NR3C1	Juvenile arthritis	disease	C17;C05;C20	Disease or Syndrome	1
C0038013	hsa:2908	A	NR3C1	Ankylosing spondylitis	disease	C05	Disease or Syndrome	1
C0020517	hsa:2908	A	NR3C1	Hypersensitivity	group	C20	Pathologic Function	2
C0020517	hsa:3586	A	IL10	Hypersensitivity	group	C20	Pathologic Function	2
C0027651	hsa:2908	A	NR3C1	Neoplasms	group	C04	Neoplastic Process	6
C0027651	hsa:7015	A	TERT	Neoplasms	group	C04	Neoplastic Process	6
C0027651	hsa:7157	A	TP53	Neoplasms	group	C04	Neoplastic Process	6
C0027651	hsa:8797	A	TNFRSF10A	Neoplasms	group	C04	Neoplastic Process	6
C0027651	hsa:8795	A	TNFRSF10B	Neoplasms	group	C04	Neoplastic Process	6
C0027651	hsa:3606	A	IL18	Neoplasms	group	C04	Neoplastic Process	6
C0596240	hsa:2908	A	NR3C1	Cancer Pain	phenotype	C23	Sign or Symptom	1
C0024299	hsa:2908	A	NR3C1	Lymphoma	group	C04;C20;C15	Neoplastic Process	2
C0024299	hsa:55294	A	FBXW7	Lymphoma	group	C04;C20;C15	Neoplastic Process	2
C0022658	hsa:2908	A	NR3C1	Kidney Diseases	group	C13;C12	Disease or Syndrome	1
C0009326	hsa:2908	A	NR3C1	Collagen Diseases	group	C17	Disease or Syndrome	1
C0001623	hsa:2908	A	NR3C1	Adrenal gland hypofunction	phenotype	C19	Disease or Syndrome	1
C0036974	hsa:2908	A	NR3C1	Shock	phenotype	C23	Pathologic Function	2
C0036974	hsa:1812	A	DRD1	Shock	phenotype	C23	Pathologic Function	2
C0037274	hsa:2908	A	NR3C1	Dermatologic disorders	group	C17	Disease or Syndrome	1
C0027765	hsa:2908	A	NR3C1	nervous system disorder	group	C10	Disease or Syndrome	1
C0018939	hsa:2908	A	NR3C1	Hematological Disease	group	C15	Disease or Syndrome	1
C0153690	hsa:2908	A	NR3C1	Secondary malignant neoplasm of bone	disease	C23;C04;C05	Neoplastic Process	1
C0004096	hsa:2908	A	NR3C1	Asthma	disease	C08;C20	Disease or Syndrome	7
C0004096	hsa:8651	A	SOCS1	Asthma	disease	C08;C20	Disease or Syndrome	7
C0004096	hsa:8835	A	SOCS2	Asthma	disease	C08;C20	Disease or Syndrome	7
C0004096	hsa:8835	A	(SOCS2)	Asthma	disease	C08;C20	Disease or Syndrome	7
C0004096	hsa:122809	A	SOCS4	Asthma	disease	C08;C20	Disease or Syndrome	7
C0004096	hsa:9306	A	SOCS6	Asthma	disease	C08;C20	Disease or Syndrome	7
C0004096	hsa:154	A	ADRB2	Asthma	disease	C08;C20	Disease or Syndrome	7
C0021368	hsa:2908	A	NR3C1	Inflammation	phenotype	C23	Pathologic Function	8
C0021368	hsa:8651	A	SOCS1	Inflammation	phenotype	C23	Pathologic Function	8
C0021368	hsa:8835	A	SOCS2	Inflammation	phenotype	C23	Pathologic Function	8
C0021368	hsa:8835	A	(SOCS2)	Inflammation	phenotype	C23	Pathologic Function	8
C0021368	hsa:9021	A	SOCS3	Inflammation	phenotype	C23	Pathologic Function	8
C0021368	hsa:122809	A	SOCS4	Inflammation	phenotype	C23	Pathologic Function	8
C0021368	hsa:9306	A	SOCS6	Inflammation	phenotype	C23	Pathologic Function	8
C0021368	hsa:3586	A	IL10	Inflammation	phenotype	C23	Pathologic Function	8
C0748052	hsa:2908	A	NR3C1	Erythrodermic psoriasis	disease	C17	Disease or Syndrome	1
C0162817	hsa:2908	A	NR3C1	Skin Diseases, Eczematous	group	C17	Disease or Syndrome	1
C0398650	hsa:2908	A	NR3C1	Immune thrombocytopenic purpura	disease	C23;C20;C15	Disease or Syndrome	1
C0023467	hsa:6850	A	SYK	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	1
C0006142	hsa:6850	A	SYK	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	9
C0006142	hsa:7157	A	TP53	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	9
C0006142	hsa:55294	A	FBXW7	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	9
C0006142	hsa:8651	A	SOCS1	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	9
C0006142	hsa:8835	A	SOCS2	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	9
C0006142	hsa:8835	A	(SOCS2)	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	9
C0006142	hsa:9021	A	SOCS3	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	9
C0006142	hsa:122809	A	SOCS4	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	9
C0006142	hsa:9306	A	SOCS6	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	9
C0023473	hsa:3455	A	IFNAR2	Myeloid Leukemia, Chronic	disease	C04;C15	Neoplastic Process	1
C0023443	hsa:3455	A	IFNAR2	Hairy Cell Leukemia	disease	C04;C20;C15	Neoplastic Process	1
C0026764	hsa:3455	A	IFNAR2	Multiple Myeloma	disease	C04;C20;C15;C14	Neoplastic Process	1
C0007134	hsa:3455	A	IFNAR2	Renal Cell Carcinoma	disease	C04;C13;C12	Neoplastic Process	3
C0007134	hsa:3560	A	IL2RB	Renal Cell Carcinoma	disease	C04;C13;C12	Neoplastic Process	3
