disease_id	entrezgene	type	gene	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	disease_degree
C1292769	hsa:25	I	ABL1	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:930	I	CD19	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:915	I	CD3D	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:10381	I	TUBB3	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:10383	I	TUBB2C	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:7280	I	TUBB2A	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:84617	I	TUBB6	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:6240	I	RRM1	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:6790	I	AURKA	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:9212	I	AURKB	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:6795	I	AURKC	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:3717	I	JAK2	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:2322	I	FLT3	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:613	I	BCR	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:3614	I	IMPDH1	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:3615	I	IMPDH2	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:3251	I	HPRT1	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:5422	I	POLA1	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:23649	I	POLA2	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:7150	I	TOP1	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:7153	I	TOP2A	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:7155	I	TOP2B	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:5156	I	PDGFRA	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:3815	I	KIT	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:6714	I	SRC	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:3932	I	LCK	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:7525	I	YES1	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:2534	I	FYN	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:1969	I	EPHA2	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C1292769	hsa:5159	I	PDGFRB	Precursor B-cell lymphoblastic leukemia	disease	C04;C20;C15	Neoplastic Process	30
C0023467	hsa:25	I	ABL1	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:3717	I	JAK2	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:2322	I	FLT3	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:613	I	BCR	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:3815	I	KIT	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:5159	I	PDGFRB	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:7852	I	CXCR4	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:4914	I	NTRK1	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:4916	I	NTRK3	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:5578	I	PRKCA	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:5579	I	PRKCB	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:3791	I	KDR	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:3265	I	HRAS	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:3845	I	KRAS	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:4893	I	NRAS	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:331	I	XIAP	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:6387	I	CXCL12	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
C0023467	hsa:4609	I	MYC	Leukemia, Myelocytic, Acute	disease	C04	Neoplastic Process	18
