gene	entrezgene
CALCOCO2	hsa:10241
BUD31	hsa:8896
ESRRG	hsa:2104
TRAF2	hsa:7186
ALG5	hsa:29880
ACAA1	hsa:30
SF1	hsa:7536
TIRAP	hsa:114609
FAM120A	hsa:23196
ARF1	hsa:375
KLRC1	hsa:3821
KLF9	hsa:687
LAGE3	hsa:8270
TRIM62	hsa:55223
LGR5	hsa:8549
NRIP3	hsa:56675
FCGR2A	hsa:2212
AZGP1	hsa:563
ATG16L1	hsa:55054
CD320	hsa:51293
LOC105375334	hsa:105375334
EED	hsa:8726
PPP3CB	hsa:5532
NAT10	hsa:55226
SPAG7	hsa:9552
TES	hsa:26136
ZNF551	hsa:90233
SERPINB6	hsa:5269
CHMP4A	hsa:29082
NET1	hsa:10276
NR1I3	hsa:9970
YWHAQ	hsa:10971
ZNF608	hsa:57507
SERPINA7	hsa:6906
BCCIP	hsa:56647
CHN1	hsa:1123
TESK1	hsa:7016
ZNF398	hsa:57541
RPS19	hsa:6223
EIF2A	hsa:83939
EHHADH	hsa:1962
EXOSC8	hsa:11340
FBXO3	hsa:26273
PPARA	hsa:5465
DNM1L	hsa:10059
PLAT	hsa:5327
INS	hsa:3630
SLK	hsa:9748
CALU	hsa:813
FEZ1	hsa:9638
CDKN1A	hsa:1026
HOXA10-AS	hsa:100874323
LPGAT1	hsa:9926
ZNF273	hsa:10793
CDC7	hsa:8317
IRF5	hsa:3663
HSF2	hsa:3298
STK24	hsa:8428
AKR1C2	hsa:1646
ZNF791	hsa:163049
HNMT	hsa:3176
NRAV	hsa:100506668
EIF3H	hsa:8667
HSPA9	hsa:3313
RAB1B	hsa:81876
RC3H2	hsa:54542
SRPK1	hsa:6732
NOD2	hsa:64127
TSC1	hsa:7248
ZNF428	hsa:126299
BCR	hsa:613
GPR141	hsa:353345
MORF4L2	hsa:9643
XK	hsa:7504
NDUFV2	hsa:4729
ZNF830	hsa:91603
GPATCH8	hsa:23131
DLX3	hsa:1747
CARD9	hsa:64170
KLHL32	hsa:114792
TOLLIP	hsa:54472
HADHA	hsa:3030
DDIT4	hsa:54541
SIRT4	hsa:23409
ANPEP	hsa:290
ZNF133	hsa:7692
HSD17B7	hsa:51478
RNF40	hsa:9810
PYGL	hsa:5836
TDRD3	hsa:81550
TIMP4	hsa:7079
PIK3R2	hsa:5296
NGEF	hsa:25791
MCTS1	hsa:28985
SUV39H1	hsa:6839
RPA4	hsa:29935
HERC4	hsa:26091
TSTD3	hsa:100130890
HOXC4	hsa:3221
FGF9	hsa:2254
ZFP91	hsa:80829
ALDH1B1	hsa:219
VRK2	hsa:7444
SMOX	hsa:54498
ZNF320	hsa:162967
HAVCR1	hsa:26762
TRMT1	hsa:55621
ARG1	hsa:383
HOXA1	hsa:3198
FRS3	hsa:10817
GPBAR1	hsa:151306
SOX2	hsa:6657
STAG2	hsa:10735
NDUFS4	hsa:4724
USF2	hsa:7392
TPI1	hsa:7167
RBMS1	hsa:5937
STK38L	hsa:23012
FAS	hsa:355
DDB2	hsa:1643
PTPRG-AS1	hsa:100506994
ZNF786	hsa:136051
GABRA1	hsa:2554
GNAI2	hsa:2771
CAPG	hsa:822
GGCX	hsa:2677
IDH3B	hsa:3420
LTBR	hsa:4055
CSNK1A1	hsa:1452
MIR34A	hsa:407040
PLEKHJ1	hsa:55111
TAPT1-AS1	hsa:202020
CLPTM1	hsa:1209
ZNF77	hsa:58492
MRPL12	hsa:6182
USP15	hsa:9958
PPOX	hsa:5498
APEH	hsa:327
ADAT1	hsa:23536
UBAP1	hsa:51271
CASP8	hsa:841
PLK2	hsa:10769
KDELR3	hsa:11015
GPX7	hsa:2882
LGALS2	hsa:3957
QPRT	hsa:23475
NKX2-5	hsa:1482
PSMD3	hsa:5709
ERBB3	hsa:2065
GCM1	hsa:8521
OTUD3	hsa:23252
SHC1	hsa:6464
WNT5A	hsa:7474
STK11	hsa:6794
UBE3C	hsa:9690
LOC101929021	hsa:101929021
RNF14	hsa:9604
SPATA13	hsa:221178
XIAP	hsa:331
ZMYM1	hsa:79830
DHDDS	hsa:79947
IRF9	hsa:10379
NR2C2	hsa:7182
ARFIP2	hsa:23647
TBX3	hsa:6926
SLC3A2	hsa:6520
SWAP70	hsa:23075
ZNF385C	hsa:201181
CASP6	hsa:839
DUSP4	hsa:1846
ERBB4	hsa:2066
PHTF2	hsa:57157
ARMC5	hsa:79798
FCHO1	hsa:23149
LINC00115	hsa:79854
ZNF141	hsa:7700
MPZL1	hsa:9019
TOX2	hsa:84969
CPS1	hsa:1373
ZNF451	hsa:26036
NOX1	hsa:27035
TRIM21	hsa:6737
CD3E	hsa:916
RBCK1	hsa:10616
LGALS8	hsa:3964
OSGEP	hsa:55644
GPR161	hsa:23432
RASD1	hsa:51655
ATG16L2	hsa:89849
ZNF366	hsa:167465
UGDH	hsa:7358
RCCD1	hsa:91433
EGR3	hsa:1960
GNA15	hsa:2769
NR1H3	hsa:10062
RGS4	hsa:5999
CTCFL	hsa:140690
SPARC	hsa:6678
KCTD3	hsa:51133
EPHB1	hsa:2047
YAF2	hsa:10138
CDKN1B	hsa:1027
ERCC1	hsa:2067
KYNU	hsa:8942
RHOXF1	hsa:158800
TFF2	hsa:7032
CBX6	hsa:23466
FOXR2	hsa:139628
ZNF300	hsa:91975
LRP1	hsa:4035
LOC100129434	hsa:100129434
PTK2	hsa:5747
SNX17	hsa:9784
TBX20	hsa:57057
TADA2A	hsa:6871
IKBKE	hsa:9641
NMI	hsa:9111
ZNF502	hsa:91392
HSPB8	hsa:26353
LPAR1	hsa:1902
PDLIM4	hsa:8572
RUFY1	hsa:80230
SFPQ	hsa:6421
SGK1	hsa:6446
PRR34-AS1	hsa:150381
F10	hsa:2159
PBX2	hsa:5089
RNF167	hsa:26001
ASH2L	hsa:9070
CDIPT	hsa:10423
ETFB	hsa:2109
SMAD1	hsa:4086
CTTN	hsa:2017
AGT	hsa:183
IQSEC1	hsa:9922
ZNF808	hsa:388558
PRDM4	hsa:11108
TCIRG1	hsa:10312
ZNF223	hsa:7766
NR3C1	hsa:2908
LRRC59	hsa:55379
FLT1	hsa:2321
PHF13	hsa:148479
NR1D2	hsa:9975
WNT9A	hsa:7483
RGR	hsa:5995
FXYD2	hsa:486
GPR37	hsa:2861
TFPI	hsa:7035
NDUFB3	hsa:4709
MFHAS1	hsa:9258
U2AF1	hsa:7307
ZNF444	hsa:55311
RHOC	hsa:389
ZNF585A	hsa:199704
PADI4	hsa:23569
TOMM34	hsa:10953
C19ORF48	hsa:84798
SAMHD1	hsa:25939
CFL1	hsa:1072
GATA3-AS1	hsa:399717
VHL	hsa:7428
IQANK1	hsa:642574
POLR2E	hsa:5434
RELL2	hsa:285613
ST14	hsa:6768
MAP4K2	hsa:5871
TCF12	hsa:6938
SLC7A9	hsa:11136
EZH1	hsa:2145
ZNF248	hsa:57209
COX5B	hsa:1329
LHX4	hsa:89884
MALT1	hsa:10892
SERPINB4	hsa:6318
GALNTL5	hsa:168391
TMED10	hsa:10972
TSPAN8	hsa:7103
C1RL-AS1	hsa:283314
ZKSCAN2	hsa:342357
LOC101927855	hsa:101927855
ZNF439	hsa:90594
HERPUD1	hsa:9709
LOC644249	hsa:644249
PJA1	hsa:64219
MAFG	hsa:4097
LINC00938	hsa:400027
WT1	hsa:7490
UTP14A	hsa:10813
DENND2D	hsa:79961
CUL4B	hsa:8450
UBA52	hsa:7311
LOC105372480	hsa:105372480
KCTD8	hsa:386617
ZNF136	hsa:7695
TMED9	hsa:54732
HOXB13	hsa:10481
ANXA2	hsa:302
SF3A3	hsa:10946
GALE	hsa:2582
KLHDC3	hsa:116138
SPP1	hsa:6696
PSMA3	hsa:5684
LOC105376844	hsa:105376844
ZER1	hsa:10444
BLVRA	hsa:644
DET1	hsa:55070
RCBTB2	hsa:1102
BIRC2	hsa:329
PAFAH1B2	hsa:5049
IL1RAP	hsa:3556
POLB	hsa:5423
PSMA1	hsa:5682
APAF1	hsa:317
NR5A2	hsa:2494
DRD1	hsa:1812
DGKA	hsa:1606
MRPL18	hsa:29074
PLAUR	hsa:5329
DNAJB5	hsa:25822
HOXD10	hsa:3236
HMOX1	hsa:3162
GCLM	hsa:2730
PLCB1	hsa:23236
TMPO	hsa:7112
BRMS1L	hsa:84312
NRBP2	hsa:340371
RNGTT	hsa:8732
VPS26A	hsa:9559
GPR152	hsa:390212
RPF1	hsa:80135
SMARCD1	hsa:6602
STAT5B	hsa:6777
SETD6	hsa:79918
VPS72	hsa:6944
NFKB2	hsa:4791
ZNF510	hsa:22869
AHR	hsa:196
TNIP1	hsa:10318
TUBB2A	hsa:7280
RLF	hsa:6018
HINFP	hsa:25988
DUSP28	hsa:285193
ZNF655	hsa:79027
ZNF672	hsa:79894
PCGF6	hsa:84108
RASGRP3	hsa:25780
POLR2D	hsa:5433
MEOX2	hsa:4223
HDAC10	hsa:83933
RCC1	hsa:1104
NMNAT3	hsa:349565
EEF1D	hsa:1936
RPS14	hsa:6208
SULT1A2	hsa:6799
CRX	hsa:1406
TAF5L	hsa:27097
EBF4	hsa:57593
