gene	entrezgene
A2M	hsa:2
AAK1	hsa:22848
AATF	hsa:26574
AATK	hsa:9625
ABAT	hsa:18
ABCA1	hsa:19
ABCA3	hsa:21
ABCA5	hsa:23461
ABCB1	hsa:5243
ABCB4	hsa:5244
ABCB5	hsa:340273
ABCB6	hsa:10058
ABCB7	hsa:22
ABCC1	hsa:4363
ABCC10	hsa:89845
ABCC2	hsa:1244
ABCC3	hsa:8714
ABCC4	hsa:10257
ABCC5	hsa:10057
ABCD3	hsa:5825
ABCF1	hsa:23
ABCF2	hsa:10061
ABCF3	hsa:55324
ABCG2	hsa:9429
ABCG5	hsa:64240
ABCG8	hsa:64241
ABHD2	hsa:11057
ABHD4	hsa:63874
ABHD6	hsa:57406
ABL1	hsa:25
ABL2	hsa:27
ACAA1	hsa:30
ACACA	hsa:31
ACACB	hsa:32
ACAD8	hsa:27034
ACADM	hsa:34
ACADS	hsa:35
ACADSB	hsa:36
ACAT1	hsa:38
ACAT2	hsa:39
ACBD3	hsa:64746
ACD	hsa:65057
ACLY	hsa:47
ACO2	hsa:50
ACOT9	hsa:23597
ACSL1	hsa:2180
ACSL3	hsa:2181
ACSL4	hsa:2182
ACSL6	hsa:23305
ACTB	hsa:60
ACTN1	hsa:87
ACTR2	hsa:10097
ACTR3	hsa:10096
ACVR1	hsa:90
ACVR1B	hsa:91
ACVR1C	hsa:130399
ACVR2A	hsa:92
ACVR2B	hsa:93
ACVRL1	hsa:94
ACY1	hsa:95
ADA	hsa:100
ADAM10	hsa:102
ADAM15	hsa:8751
ADAM17	hsa:6868
ADAR	hsa:103
ADAT1	hsa:23536
ADCK1	hsa:57143
ADCK2	hsa:90956
ADCK5	hsa:203054
ADCY3	hsa:109
ADCY5	hsa:111
ADCY9	hsa:115
ADH5	hsa:128
ADH6	hsa:130
ADI1	hsa:55256
ADK	hsa:132
ADNP2	hsa:22850
ADO	hsa:84890
ADORA2A	hsa:135
ADORA2B	hsa:136
ADPGK	hsa:83440
ADRA2A	hsa:150
ADRA2C	hsa:152
ADRB2	hsa:154
ADSL	hsa:158
AFF1	hsa:4299
AFF4	hsa:27125
AFG3L2	hsa:10939
AFP	hsa:174
AGK	hsa:55750
AGL	hsa:178
AGPAT1	hsa:10554
AGPAT2	hsa:10555
AGT	hsa:183
AGTR1	hsa:185
AHCY	hsa:191
AHR	hsa:196
AHRR	hsa:57491
AIFM1	hsa:9131
AIM2	hsa:9447
AIMP2	hsa:7965
AIP	hsa:9049
AIRE	hsa:326
AK1	hsa:203
AK2	hsa:204
AK3	hsa:50808
AK4	hsa:205
AK5	hsa:26289
AK7	hsa:122481
AK8	hsa:158067
AKAP1	hsa:8165
AKAP11	hsa:11215
AKAP13	hsa:11214
AKAP17A	hsa:8227
AKAP8	hsa:10270
AKAP8L	hsa:26993
AKAP9	hsa:10142
AKR1A1	hsa:10327
AKR1B1	hsa:231
AKR1C1	hsa:1645
AKR1C2	hsa:1646
AKR1C3	hsa:8644
AKR7A2	hsa:8574
AKT1	hsa:207
AKT1S1	hsa:84335
AKT2	hsa:208
AKT3	hsa:10000
AKTIP	hsa:64400
ALAD	hsa:210
ALAS1	hsa:211
ALAS2	hsa:212
ALB	hsa:213
ALDH18A1	hsa:5832
