gene_name	zscore	pvalue	disease_id	tissue	entrezgene
KLRF1	9.0312557220459	1.697129882729455e-19	C0027662	Thyroid	hsa:51348
HRAT92	8.128887416929226	4.332484598075688e-16	C0027662	Thyroid	hsa:441307
SRR	-8.015776634216309	1.0944324200330042e-15	C0027662	Thyroid	hsa:63826
SZRD1	7.367772102355959	1.735030530954207e-13	C0027662	Thyroid	hsa:26099
EFCAB11	6.520657062530518	7.000006447418948e-11	C0027662	Thyroid	hsa:90141
DCLRE1B	5.997807025909423	1.9999998657703647e-09	C0027662	Thyroid	hsa:64858
RCC2	-5.994237567954336	2.044423209806932e-09	C0027662	Thyroid	hsa:55920
MRM3	5.624203205108643	1.8636616923072948e-08	C0027662	Thyroid	hsa:55178
TUBB3	-5.612001419067383	1.9999979781222064e-08	C0027662	Thyroid	hsa:10381
TMEM136	5.612001419067383	1.9999979781222064e-08	C0027662	Thyroid	hsa:219902
MASP2	5.526641368865967	3.264192516054603e-08	C0027662	Thyroid	hsa:10747
AP3D1	-5.421447277069092	5.911843390084763e-08	C0027662	Thyroid	hsa:8943
CLECL1	5.230673439090915	1.6889363351565078e-07	C0027662	Thyroid	hsa:160365
MMEL1	5.097158752862784	3.447891748511644e-07	C0027662	Thyroid	hsa:79258
TTC34	-5.015683896300992	5.284515123400264e-07	C0027662	Thyroid	hsa:100287898
RANBP9	4.9438347816467285	7.66006287717253e-07	C0027662	Thyroid	hsa:10048
NDRG3	4.9123311042785645	8.999990065052383e-07	C0027662	Thyroid	hsa:57446
ARHGEF19	-4.767115822873119	1.8688188675822896e-06	C0027662	Thyroid	hsa:128272
PRELID3A	4.4651837348938	8.000006751867587e-06	C0027662	Thyroid	hsa:10650
SYN2	-4.395411539442218	1.1056308327426438e-05	C0027662	Thyroid	hsa:6854
KLHL17	-4.3687716559757686	1.2494732503075897e-05	C0027662	Thyroid	hsa:339451
NOC2L	4.246618944147412	2.170205918782225e-05	C0027662	Thyroid	hsa:26155
CENPS	4.22556734085083	2.383395354487468e-05	C0027662	Thyroid	hsa:378708
ACIN1	-4.217784283537517	2.4671467197450023e-05	C0027662	Thyroid	hsa:22985
ZBTB7A	4.203864497381919	2.6239605726586786e-05	C0027662	Thyroid	hsa:51341
UBIAD1	4.179600715637208	2.920213687040364e-05	C0027662	Thyroid	hsa:29914
MTOR	4.124830722808838	3.7100752536257485e-05	C0027662	Thyroid	hsa:2475
SEMA5A	4.1087608337402335	3.9778776126987525e-05	C0027662	Thyroid	hsa:9037
RP11-23F23.2	-4.04662039371363	5.196240486769208e-05	C0027662	Thyroid	hsa:100506082
IRF4	4.040542002706433	5.3327812653672246e-05	C0027662	Thyroid	hsa:3662
PHRF1	4.0402913093566895	5.33848502746549e-05	C0027662	Thyroid	hsa:57661
PERM1	-4.00702370068381	6.148869496646414e-05	C0027662	Thyroid	hsa:84808
RRM1	4.001107175003572	6.304679201344592e-05	C0027662	Thyroid	hsa:6240
SRM	-3.926133394241333	8.632229542223904e-05	C0027662	Thyroid	hsa:6723
ANGPTL7	3.902609586715698	9.51611300377683e-05	C0027662	Thyroid	hsa:10218
GLOD4	-3.859413048506428	0.0001136596887449	C0027662	Thyroid	hsa:51031
DRD4	-3.760481293442716	0.0001695867569424	C0027662	Thyroid	hsa:1815
EXOSC10	3.699290961191348	0.0002162026291332	C0027662	Thyroid	hsa:5394
SMG6	3.6436026096344	0.000268848402258	C0027662	Thyroid	hsa:23293
OCA2	-3.639642477035522	0.0002730168431274	C0027662	Thyroid	hsa:4948
STIM1	3.617758289801837	0.0002971657183574	C0027662	Thyroid	hsa:6786
IRF7	3.54793652492388	0.0003882617785209	C0027662	Thyroid	hsa:3665
MINOS1	-3.495300531387329	0.0004735282449488	C0027662	Thyroid	hsa:440574
PPARG	3.4915383044728165	0.0004802475985918	C0027662	Thyroid	hsa:5468
WDR37	3.44839895750634	0.0005639204161389	C0027662	Thyroid	hsa:22884
KLHL33	3.418665338837524	0.0006292907246557	C0027662	Thyroid	hsa:123103
CORT	-3.4036646621593185	0.0006648832490456	C0027662	Thyroid	hsa:1325
PDGFA	-3.2203924655914307	0.0012801520957206	C0027662	Thyroid	hsa:5154
GTPBP4	-3.2063119181793747	0.0013444816422759	C0027662	Thyroid	hsa:23560
RP11-244E17.1	-3.099983194823872	0.001935316228236	C0027662	Thyroid	hsa:100128908
TMEM204	-3.0710945129394527	0.0021327562914507	C0027662	Thyroid	hsa:79652
ADCY2	2.9928648557681083	0.0027637210087807	C0027662	Thyroid	hsa:108
IL17D	-2.9640836715698247	0.0030358572844245	C0027662	Thyroid	hsa:53342
NECAP2	-2.8248639309253925	0.0047300698279219	C0027662	Thyroid	hsa:55707
RFLNB	2.813004970550537	0.0049080892474709	C0027662	Thyroid	hsa:359845
GNB1L	-2.6961310852916176	0.0070150054512115	C0027662	Thyroid	hsa:54584
CDHR5	-2.679125248837148	0.0073814777512411	C0027662	Thyroid	hsa:53841
PIAS4	2.6618020139838348	0.007772357999417	C0027662	Thyroid	hsa:51588
RAC1	2.48275827793523	0.0130369519980572	C0027662	Thyroid	hsa:5879
TMEM9B	2.4507128365675053	0.0142573645715179	C0027662	Thyroid	hsa:56674
SNHG18	2.378430065637842	0.0173865346001137	C0027662	Thyroid	hsa:100505806
AC093323.3	-2.3778595333347163	0.0174134579021145	C0027662	Thyroid	hsa:93622
SIRPD	2.373969078063965	0.0175980241836799	C0027662	Thyroid	hsa:128646
KLRB1	2.3472540259139936	0.0189123558780906	C0027662	Thyroid	hsa:3820
ST5	-2.324770450592041	0.0200842378598405	C0027662	Thyroid	hsa:6764
RASSF7	2.2812068462371826	0.0225362098319481	C0027662	Thyroid	hsa:8045
HRAS	-2.269596269002009	0.0232320902131133	C0027662	Thyroid	hsa:3265
NCOA1	2.240484150810177	0.0250595085827437	C0027662	Thyroid	hsa:8648
EEF1E1	-2.240097329172772	0.0250846048990358	C0027662	Thyroid	hsa:9521
SYT9	2.231668839455636	0.025636858178464	C0027662	Thyroid	hsa:143425
PGD	2.223463905462813	0.0261845346585927	C0027662	Thyroid	hsa:5226
TMEM129	-2.208890759064874	0.0271822401175491	C0027662	Thyroid	hsa:92305
FBXO42	-2.1679042191306825	0.0301659747879162	C0027662	Thyroid	hsa:54455
PANK4	2.144783222382898	0.0319701832565562	C0027662	Thyroid	hsa:55229
RP13-735L24.1	2.0578381404223034	0.0396056734782633	C0027662	Thyroid	hsa:101930452
GFRA4	2.0534137704867	0.0400324648929728	C0027662	Thyroid	hsa:64096
SCUBE2	2.034064901217089	0.0419450522217679	C0027662	Thyroid	hsa:57758
XPO4	2.029348351583253	0.0424228217416223	C0027662	Thyroid	hsa:64328
STK35	-2.0016512045945207	0.0453222577996362	C0027662	Thyroid	hsa:140901
LINC00327	-1.9933779239654543	0.0462200793748873	C0027662	Thyroid	hsa:100506697
CCDC96	1.983111142476302	0.0473550162587971	C0027662	Thyroid	hsa:257236
RPP40	-1.979872145487458	0.0477178970380319	C0027662	Thyroid	hsa:10799
CDH24	-1.951998069856807	0.0509384337696106	C0027662	Thyroid	hsa:64403
B4GALNT4	-1.9513534750764367	0.0510150118904675	C0027662	Thyroid	hsa:338707
TPTE2	-1.9358493438025508	0.0528861554427582	C0027662	Thyroid	hsa:93492
GOLGA6L7P	-1.9222003382602808	0.0545805542901236	C0027662	Thyroid	hsa:728310
RP11-428J1.5	1.9136724472045896	0.0556620217227587	C0027662	Thyroid	hsa:100129461
DOT1L	-1.89107882976532	0.0586138220605534	C0027662	Thyroid	hsa:84444
DAGLB	1.8741262297467505	0.0609130288408612	C0027662	Thyroid	hsa:221955
EPHA2	1.854781746864319	0.0636273996333995	C0027662	Thyroid	hsa:1969
TMEM80	1.8353142022459183	0.0664591479405446	C0027662	Thyroid	hsa:283232
TIMP4	-1.7762812376022337	0.0756865741216708	C0027662	Thyroid	hsa:7079
GRPEL1	-1.7752778099502144	0.0758520274827867	C0027662	Thyroid	hsa:80273
SLC7A8	1.7724292278289793	0.0763233336257915	C0027662	Thyroid	hsa:23428
LINC00940	1.7646208180344485	0.0776275142976335	C0027662	Thyroid	hsa:100271702
SCT	1.7488759756088257	0.0803124601928967	C0027662	Thyroid	hsa:6343
RP11-54O7.3	1.738292574882507	0.0821592740417009	C0027662	Thyroid	hsa:100130417
RBAK	1.725569986123919	0.0844248028674782	C0027662	Thyroid	hsa:57786
UBE4B	1.7235741480629811	0.0847847488204329	C0027662	Thyroid	hsa:10277
LY86	-1.7109773159027102	0.087085300443399	C0027662	Thyroid	hsa:9450
CLEC2B	1.7094732522964475	0.0873633221974518	C0027662	Thyroid	hsa:9976
OSGEP	1.7076878564540394	0.0876942765893159	C0027662	Thyroid	hsa:55644
TELO2	1.704678060570689	0.0882544838184681	C0027662	Thyroid	hsa:9894
MAP2K2	1.7010512351989748	0.0889333667335639	C0027662	Thyroid	hsa:5605
EIF3B	-1.6730050427513474	0.0943263033199541	C0027662	Thyroid	hsa:8662
AP1G2	1.6673400262072358	0.0954468119404066	C0027662	Thyroid	hsa:8906
MPHOSPH8	-1.6664803445915763	0.0956177798755917	C0027662	Thyroid	hsa:54737
DFFA	-1.6565086841583254	0.0976188478872813	C0027662	Thyroid	hsa:1676
CHST12	-1.6348159313201904	0.1020876400303311	C0027662	Thyroid	hsa:55501
S100P	-1.6294174194335935	0.1032246836590012	C0027662	Thyroid	hsa:6286
RAD52	1.611095358334336	0.1071589399085815	C0027662	Thyroid	hsa:5893
FGFR3	1.5597427258924894	0.1188206910163029	C0027662	Thyroid	hsa:2261
TACC3	-1.5502705574035645	0.1210765909722056	C0027662	Thyroid	hsa:10460
CTNNBIP1	-1.5396902561187742	0.1236358730753412	C0027662	Thyroid	hsa:56998
SNX8	-1.535151636917662	0.12474658486244	C0027662	Thyroid	hsa:29886
ZDHHC11	1.53496719336666	0.1247918867366675	C0027662	Thyroid	hsa:79844
FAM53A	-1.5198703432861984	0.1285435653767328	C0027662	Thyroid	hsa:152877
SIRT5	-1.4868286337605208	0.1370600768733666	C0027662	Thyroid	hsa:23408
SGSM2	-1.472549308496054	0.1408726020001094	C0027662	Thyroid	hsa:9905
BLOC1S5	-1.4642732329844823	0.1431193076800947	C0027662	Thyroid	hsa:63915
RAP1GAP2	1.4494802598144214	0.1472035091767701	C0027662	Thyroid	hsa:23108
IGSF21	1.4490478074441673	0.1473242320638973	C0027662	Thyroid	hsa:84966
ANO9	1.4471967324174926	0.147841831469311	C0027662	Thyroid	hsa:338440
MFSD7	1.4273204800941404	0.1534875400168373	C0027662	Thyroid	hsa:84179
LINC01772	-1.3945085475784522	0.1631640901572705	C0027662	Thyroid	hsa:107984921
RSG1	-1.3891837346131248	0.16477688645197	C0027662	Thyroid	hsa:79363
FASTKD3	1.387337245907716	0.165338950777844	C0027662	Thyroid	hsa:79072
CHRNA10	-1.3782591672404558	0.1681232853417498	C0027662	Thyroid	hsa:57053
C1QBP	1.3743386268615725	0.1693365798443096	C0027662	Thyroid	hsa:708
C1orf159	-1.363357936468896	0.1727697309847919	C0027662	Thyroid	hsa:54991
RBP7	1.3589594193290824	0.1741594482665156	C0027662	Thyroid	hsa:116362
SPATA13	1.3496381016724392	0.1771320961501377	C0027662	Thyroid	hsa:221178
RREB1	1.34114933013916	0.1798719737513722	C0027662	Thyroid	hsa:6239
CLEC12B	-1.3306919336318972	0.1832903982882253	C0027662	Thyroid	hsa:387837
COLQ	1.3193008895689886	0.1870685405560829	C0027662	Thyroid	hsa:8292
NSFL1C	1.3184181554583376	0.1873637064309842	C0027662	Thyroid	hsa:55968
SLC22A17	1.316246032714844	0.1880914778835019	C0027662	Thyroid	hsa:51310
DEAF1	1.3144357381976952	0.188699610363069	C0027662	Thyroid	hsa:10522
PAFAH1B1	-1.3133548498153689	0.1890634040159198	C0027662	Thyroid	hsa:5048
VLDLR	1.313126773001286	0.1891402336488085	C0027662	Thyroid	hsa:7436
LZIC	1.3033367437291572	0.1924598219459385	C0027662	Thyroid	hsa:84328
MRPL52	1.288968980831743	0.1974088706859063	C0027662	Thyroid	hsa:122704
C22orf29	1.2866669658030754	0.1982103918235722	C0027662	Thyroid	hsa:79680
LNX2	1.2746920585632324	0.2024182587994978	C0027662	Thyroid	hsa:222484
RNH1	1.270366393316928	0.2039541484000536	C0027662	Thyroid	hsa:6050
PEX14	-1.2686185836791992	0.2045771329901049	C0027662	Thyroid	hsa:5195
C17orf97	-1.265536695660592	0.2056790026378344	C0027662	Thyroid	hsa:400566
SMC6	1.2529805898666382	0.2102127706975076	C0027662	Thyroid	hsa:79677
AGRN	-1.2494985785380397	0.2114827730837056	C0027662	Thyroid	hsa:375790
KIF1B	1.2320993946309726	0.2179119575269761	C0027662	Thyroid	hsa:23095
KLF11	1.1941534280776978	0.2324179568685686	C0027662	Thyroid	hsa:8462
CLEC12A	-1.1858667135238647	0.2356749402696225	C0027662	Thyroid	hsa:160364
PARVA	-1.16591739654541	0.2436478446219702	C0027662	Thyroid	hsa:55742
LINC01376	-1.1535532927316987	0.2486833567299596	C0027662	Thyroid	hsa:400945
METTL26	1.1435158100270226	0.2528244943410741	C0027662	Thyroid	hsa:84326
FASTKD5	1.1425414518046082	0.253229026183872	C0027662	Thyroid	hsa:60493
MRFAP1	-1.1371362209320068	0.255481344143036	C0027662	Thyroid	hsa:93621
TPPP	1.1235510118006455	0.2612035483047515	C0027662	Thyroid	hsa:11076
ENO1	1.121943116188049	0.2618866267593823	C0027662	Thyroid	hsa:2023
LINC01939	1.1193998446025255	0.2629695972402943	C0027662	Thyroid	hsa:101060385
LETM1	-1.1146706342697144	0.2649915894242255	C0027662	Thyroid	hsa:3954
METTL6	-1.1095182291881835	0.2672066849038204	C0027662	Thyroid	hsa:131965
SLC25A22	1.109278082847595	0.2673102370178928	C0027662	Thyroid	hsa:79751
CLEC4E	-1.1043230295181274	0.2694530363480891	C0027662	Thyroid	hsa:26253
LZTS3	1.1018002868715389	0.270548505647577	C0027662	Thyroid	hsa:9762
NR2C2	-1.1013680254220397	0.2707365157005826	C0027662	Thyroid	hsa:7182
MFAP2	1.0765193545669127	0.2816950496771765	C0027662	Thyroid	hsa:4237
NBL1	-1.0733973207816998	0.283092886115901	C0027662	Thyroid	hsa:4681
FAM213B	1.0495630628649282	0.2939190469224746	C0027662	Thyroid	hsa:127281
RNF17	1.0458436372738429	0.2956332302856773	C0027662	Thyroid	hsa:56163
MRPL17	-1.0386441108731863	0.2989702827889682	C0027662	Thyroid	hsa:63875
M6PR	-1.033962607383728	0.3011536443848187	C0027662	Thyroid	hsa:4074
NMRK2	1.032099366188049	0.3020255707491248	C0027662	Thyroid	hsa:27231
PSMF1	1.0318297698157797	0.3021518706362587	C0027662	Thyroid	hsa:9491
LINC00621	-1.008771538734436	0.3130842136605181	C0027662	Thyroid	hsa:100996930
RNF223	1.0084002017974854	0.3132623761070212	C0027662	Thyroid	hsa:401934
C14orf119	1.0066548585891724	0.3141006620671728	C0027662	Thyroid	hsa:55017
ARHGEF10L	1.0024766332385573	0.3161134465619785	C0027662	Thyroid	hsa:55160
FAM228B	-1.000648205602394	0.3169969159733706	C0027662	Thyroid	hsa:375190
ZNF141	1.0002868175506592	0.3171717248673922	C0027662	Thyroid	hsa:7700
VPS53	-0.9989370929629632	0.3178251660061559	C0027662	Thyroid	hsa:55275
EBF4	0.9974375586223698	0.3185521682599215	C0027662	Thyroid	hsa:57593
ADIPOR2	-0.9974067211151124	0.3185671302786023	C0027662	Thyroid	hsa:79602
DHRS4L2	0.995281651482117	0.3195992992106466	C0027662	Thyroid	hsa:317749
