gene	disease_id	correlation	tissue	cell	score	prediction_rank
PSMD3	C0027662	-0.24438154380095023	Thyroid	MCF7	0.24438154380095023	1.0
CCP110	C0027662	-0.23630353247476066	Thyroid	MCF7	0.23630353247476066	2.0
ZSCAN16-AS1	C0027662	-0.22633960198533254	Thyroid	MCF7	0.22633960198533254	3.0
GRB2	C0027662	-0.22105160373513844	Thyroid	MCF7	0.22105160373513844	4.0
TFAP4	C0027662	-0.22079416549476538	Thyroid	MCF7	0.22079416549476538	5.0
LOC101927746	C0027662	-0.21867043303929634	Thyroid	MCF7	0.21867043303929634	6.0
LOC107986122	C0027662	-0.2183202961517987	Thyroid	MCF7	0.2183202961517987	7.0
NLK	C0027662	-0.21707562031321959	Thyroid	MCF7	0.21707562031321959	8.0
SLC22A5	C0027662	-0.21522834015959225	Thyroid	MCF7	0.21522834015959225	9.0
STK33	C0027662	-0.21494038158109796	Thyroid	MCF7	0.21494038158109796	10.0
MAP2K5	C0027662	-0.21308428353566078	Thyroid	MCF7	0.21308428353566078	11.0
XLOC_009549	C0027662	-0.21296080309985266	Thyroid	MCF7	0.21296080309985266	12.0
LINC02001	C0027662	-0.21037975879467763	Thyroid	MCF7	0.21037975879467763	13.0
STK38L	C0027662	-0.20780970153897171	Thyroid	MCF7	0.20780970153897171	14.0
LOC728485	C0027662	-0.20775724672756057	Thyroid	MCF7	0.20775724672756057	15.0
AES	C0027662	-0.19908322883555263	Thyroid	MCF7	0.19908322883555263	16.0
SNRNP70	C0027662	-0.1959208613557144	Thyroid	MCF7	0.1959208613557144	17.0
PPP1R8	C0027662	-0.1938689463521701	Thyroid	MCF7	0.1938689463521701	18.0
SLC25A22	C0027662	-0.19028311758343164	Thyroid	MCF7	0.19028311758343164	19.0
LINC01572	C0027662	-0.18854972736498943	Thyroid	MCF7	0.18854972736498943	20.0
ATP5F1	C0027662	-0.18575297573542993	Thyroid	MCF7	0.18575297573542993	21.0
IL8	C0027662	-0.18371647018601678	Thyroid	MCF7	0.18371647018601678	22.0
(G085301)	C0027662	-0.18327175094838122	Thyroid	MCF7	0.18327175094838122	23.0
PRKAG3	C0027662	-0.18258291437863416	Thyroid	MCF7	0.18258291437863416	24.0
UGT1A1	C0027662	-0.181499113936461	Thyroid	MCF7	0.181499113936461	25.0
IGFBP5	C0027662	-0.1804864882457451	Thyroid	MCF7	0.1804864882457451	26.0
GATA2	C0027662	-0.17944628285510844	Thyroid	MCF7	0.17944628285510844	27.0
OLIG3	C0027662	-0.17819640507365042	Thyroid	MCF7	0.17819640507365042	28.0
XLOC_012827	C0027662	-0.17729353213991628	Thyroid	MCF7	0.17729353213991628	29.0
MDH1	C0027662	-0.1765203284484238	Thyroid	MCF7	0.1765203284484238	30.0
