gene	disease_id	correlation	tissue	cell	score	prediction_rank
NEK7	C0027662	-0.2950773838032694	Thyroid	MCF7	0.2950773838032694	1.0
BLVRB	C0027662	-0.28102877646982094	Thyroid	MCF7	0.28102877646982094	2.0
GLI3	C0027662	-0.2556367408158142	Thyroid	MCF7	0.2556367408158142	3.0
HSPA9	C0027662	-0.2543332503464053	Thyroid	MCF7	0.2543332503464053	4.0
NOS3	C0027662	-0.2489015304240172	Thyroid	MCF7	0.2489015304240172	5.0
PTPN2	C0027662	-0.24485117364681108	Thyroid	MCF7	0.24485117364681108	6.0
PBK	C0027662	-0.24054287576276456	Thyroid	MCF7	0.24054287576276456	7.0
ADAR	C0027662	-0.2373851075406781	Thyroid	MCF7	0.2373851075406781	8.0
SRD5A1	C0027662	-0.23587809626266631	Thyroid	MCF7	0.23587809626266631	9.0
AKAP9	C0027662	-0.2328138320671045	Thyroid	MCF7	0.2328138320671045	10.0
BUD13	C0027662	-0.23152774199019976	Thyroid	MCF7	0.23152774199019976	11.0
CHUK	C0027662	-0.22968991834709795	Thyroid	MCF7	0.22968991834709795	12.0
HRAS	C0027662	-0.2273003395355211	Thyroid	MCF7	0.2273003395355211	13.0
CLK2	C0027662	-0.2253462165344291	Thyroid	MCF7	0.2253462165344291	14.0
KCNG1	C0027662	-0.22329268956372816	Thyroid	MCF7	0.22329268956372816	15.0
WTAP	C0027662	-0.22169392211214944	Thyroid	MCF7	0.22169392211214944	16.0
DICER1	C0027662	-0.21885189676689998	Thyroid	MCF7	0.21885189676689998	17.0
MAPK3	C0027662	-0.2143726988545338	Thyroid	MCF7	0.2143726988545338	18.0
PTGFR	C0027662	-0.21416909401691275	Thyroid	MCF7	0.21416909401691275	19.0
PRPSAP2	C0027662	-0.21276007176070855	Thyroid	MCF7	0.21276007176070855	20.0
ERG	C0027662	-0.21271216246318825	Thyroid	MCF7	0.21271216246318825	21.0
